index,band0_finite_count,band0_allnan,band0_min,band0_max,band0_mean,band0_median,band0_std,band0_p5,band0_p95,band1_finite_count,band1_allnan,band1_min,band1_max,band1_mean,band1_median,band1_std,band1_p5,band1_p95,band2_finite_count,band2_allnan,band2_min,band2_max,band2_mean,band2_median,band2_std,band2_p5,band2_p95,band3_finite_count,band3_allnan,band3_min,band3_max,band3_mean,band3_median,band3_std,band3_p5,band3_p95,band4_finite_count,band4_allnan,band4_min,band4_max,band4_mean,band4_median,band4_std,band4_p5,band4_p95
0,1096537,False,0.006435804069042206,0.06216389313340187,0.009699972346425056,0.008870769292116165,0.002666482934728265,0.007882003486156464,0.015015824884176254,1096537,False,0.008881151676177979,0.09862673282623291,0.02233968861401081,0.02134537510573864,0.003963251132518053,0.01898530572652817,0.029867970198392865,1096537,False,0.007188268005847931,0.057666879147291183,0.011715707369148731,0.010867597535252571,0.002911373507231474,0.009601079300045967,0.01760154478251934,1096537,False,0.010823278687894344,0.07587553560733795,0.01731196418404579,0.016387134790420532,0.003449958050623536,0.01453321948647499,0.02407944463193416,1096537,False,0.0033397413790225983,0.019999906420707703,0.006284226663410664,0.00557340681552887,0.002169853076338768,0.004869377240538597,0.01081357132643461
1,1124911,False,0.005602810997515917,0.06106041744351387,0.008420674130320549,0.007862171158194542,0.0021419620607048273,0.006994085852056742,0.011965818703174591,1124911,False,0.010077329352498055,0.0990818440914154,0.019677679985761642,0.019035115838050842,0.0028815078549087048,0.01709779165685177,0.024516302160918713,1124911,False,0.006120103877037764,0.049612611532211304,0.010371087118983269,0.009779092855751514,0.0023857038468122482,0.00870033586397767,0.014249154832214117,1124911,False,0.009861917234957218,0.0813610628247261,0.015177551656961441,0.014532211236655712,0.002785898745059967,0.01295178709551692,0.019673099741339684,1124911,False,0.0027418050449341536,0.019999461248517036,0.005278301425278187,0.004788159858435392,0.0017645712941884995,0.004212979692965746,0.00821973429992795
2,1120147,False,0.006041576620191336,0.0551145076751709,0.00922420434653759,0.008710881695151329,0.0021009191405028105,0.007770045567303896,0.0125841548666358,1120147,False,0.012404710054397583,0.08894487470388412,0.02177911438047886,0.021155523136258125,0.0029605913441628218,0.01903031412512064,0.026556172408163548,1120147,False,0.005097143817692995,0.04520665109157562,0.01128434669226408,0.010759438388049603,0.002252936828881502,0.009593731071799994,0.014917313307523725,1120147,False,0.007024242542684078,0.0748283714056015,0.016736682504415512,0.016141267493367195,0.002763645723462105,0.01441055340692401,0.021029553934931753,1120147,False,0.0026549729518592358,0.01999640464782715,0.005782943218946457,0.005337429698556662,0.0016820933669805527,0.004710727045312524,0.008586193807423106
3,1117248,False,0.0061772968620061874,0.07008268684148788,0.00908629596233368,0.008537053130567074,0.002190857194364071,0.007604469754733145,0.012736533628776667,1117248,False,0.00961072277277708,0.09565512090921402,0.021247252821922302,0.020551491528749466,0.003142670961096883,0.018470029160380364,0.026643719710409637,1117248,False,0.005586341023445129,0.05053180828690529,0.011005277745425701,0.010416951030492783,0.002428825944662094,0.009273995738476514,0.015059207519516334,1117248,False,0.009254898875951767,0.09831278771162033,0.016346974298357964,0.0156765915453434,0.0029616989195346832,0.013979951245710253,0.02119632288813588,1117248,False,0.0029645408503711224,0.019999023526906967,0.005646396894007921,0.00516920443624258,0.0017812988953664899,0.004555396270006895,0.008692758670076727
4,1118884,False,0.00566737400367856,0.06887070834636688,0.008464505895972252,0.007972998544573784,0.0020834263414144516,0.0070987366372719405,0.011603419436141828,1118884,False,0.008492063730955124,0.10885079205036163,0.0200120210647583,0.019369198009371758,0.003075500950217247,0.01740238843485713,0.02480267006903886,1118884,False,0.005164329428225756,0.05092428997159004,0.010493128560483456,0.00995468907058239,0.0023529629688709974,0.008873375039547682,0.014074666192755087,1118884,False,0.010678188875317574,0.08793167769908905,0.015367970801889896,0.014760192483663559,0.0028005989734083414,0.013182245614007115,0.019552741665393107,1118884,False,0.0032340819016098976,0.01999802514910698,0.005334880203008652,0.0049035269767045975,0.0017034211196005344,0.004324913583695888,0.007997535495087495
5,1131609,False,0.005787325091660023,0.04687207564711571,0.008396100252866745,0.008072149939835072,0.0017260852036997676,0.007199143711477518,0.010232947394251821,1131609,False,0.014072190038859844,0.06703338027000427,0.01984184980392456,0.01942063868045807,0.0023753526620566845,0.017577169835567473,0.022939387708902352,1131609,False,0.006186566781252623,0.05204389616847038,0.010104861110448837,0.009759091772139072,0.0018743982072919607,0.008671133778989315,0.012180766463279723,1131609,False,0.009689673781394958,0.09016560763120651,0.015118302777409554,0.014713712967932224,0.002294037723913789,0.013141408748924732,0.01784517504274845,1131609,False,0.0029315706342458725,0.01999853551387787,0.0049595907330513,0.004700194578617811,0.0013328877976164222,0.004075821954756975,0.00637653488665819
6,1061926,False,0.005777330603450537,0.07216063141822815,0.009292329661548138,0.008431226946413517,0.002704959362745285,0.007311495486646891,0.014742399333044887,1061926,False,0.006155861541628838,0.10540362447500229,0.021632961928844452,0.020486196503043175,0.004049449693411589,0.01825700094923377,0.02977360738441348,1061926,False,0.0035103624686598778,0.06816784292459488,0.011602029204368591,0.010604595765471458,0.0031344664748758078,0.009352017426863313,0.01820197282359004,1061926,False,0.0016103517264127731,0.10055604577064514,0.016772957518696785,0.015704445540905,0.0036302036605775356,0.013956035953015089,0.024092622566968203,1061926,False,0.0007061660871841013,0.019999811425805092,0.006503358483314514,0.0056828041560947895,0.0024070213548839092,0.00483312678989023,0.01191290165297687
7,999802,False,-0.00360778602771461,0.05559980496764183,0.006492217071354389,0.006481752265244722,0.0011503853602334857,0.005154030933044851,0.007858328428119421,999802,False,0.005000335164368153,0.07768182456493378,0.017027078196406364,0.017064517363905907,0.0020000948570668697,0.014163719303905965,0.019859718810766935,999802,False,-0.01329346839338541,0.04827416315674782,0.00801387894898653,0.008069099858403206,0.0012164345243945718,0.006527762277983129,0.009340722067281603,999802,False,-0.014824425801634789,0.05667533352971077,0.01222897507250309,0.012366991490125656,0.0016987674171105027,0.00962538137100637,0.014294042577967047,999802,False,0.0017888330621644855,0.019999904558062553,0.006745171267539263,0.0059325979091227055,0.0024598431773483753,0.005004444392398,0.012411729153245685
8,976674,False,-0.002841114066541195,0.07998250424861908,0.0073849973268806934,0.007235633209347725,0.001669383724220097,0.00558029948733747,0.009504420217126608,976674,False,0.005005817860364914,0.10996167361736298,0.01881772093474865,0.018701989203691483,0.002756838919594884,0.015348752541467548,0.02242760397493839,976674,False,-0.01351095549762249,0.06040826439857483,0.008196907117962837,0.008307513780891895,0.0015716818161308765,0.006044609239324927,0.009901498816907406,976674,False,-0.012988796457648277,0.05432679504156113,0.013365688733756542,0.01346622221171856,0.001791404909454286,0.010533667448908091,0.015750683937221767,976674,False,0.002592882141470909,0.01999962329864502,0.008050216361880302,0.007060803472995758,0.002715230453759432,0.005849029822275043,0.014500003866851328
9,1087752,False,0.005646850913763046,0.07010018825531006,0.008984566666185856,0.00844025332480669,0.0022034363355487585,0.007283672923222184,0.012746224412694572,1087752,False,0.0053616976365447044,0.1046328991651535,0.020943274721503258,0.02027890831232071,0.0029444836545735598,0.01807883186265826,0.026138081960380075,1087752,False,0.0011077355593442917,0.06310781836509705,0.011079817079007626,0.010392814874649048,0.0025658931117504835,0.009206347027793526,0.015736997965723275,1087752,False,0.0053424835205078125,0.07308100908994675,0.016191281378269196,0.015492631122469902,0.002803186420351267,0.013817362254485488,0.021387490816414355,1087752,False,0.00014595602988265455,0.01999996043741703,0.006095708813518286,0.005427386611700058,0.0021306711714714766,0.004737576260231436,0.010377270542085166
10,1124417,False,0.004641073755919933,0.09562549740076065,0.008911277167499065,0.008534220047295094,0.0018544401973485947,0.007512186001986265,0.011282777041196821,1124417,False,0.009502692148089409,0.13412891328334808,0.021184349432587624,0.020701441913843155,0.0025262944400310516,0.018729554116725923,0.02485702000558376,1124417,False,0.0030078713316470385,0.05627909302711487,0.010913637466728687,0.010505150072276592,0.0020114111248403788,0.0093336233869195,0.013579371385276318,1124417,False,0.007887504994869232,0.0660809874534607,0.01627737656235695,0.015835221856832504,0.0022186734713613987,0.014221670106053352,0.0194676861166954,1124417,False,0.0013926372630521655,0.019999107345938683,0.005608637351542711,0.0052258349023759365,0.0015702011296525598,0.0046064135618507866,0.007804169598966832
11,1084378,False,0.006171370390802622,0.07620562613010406,0.009107548743486404,0.008570190519094467,0.002134565496817231,0.00750468703918159,0.012710415292531238,1084378,False,0.0066405851393938065,0.10731415450572968,0.021282056346535683,0.020606720820069313,0.0029312020633369684,0.018538485560566188,0.026530214678496117,1084378,False,0.005332152359187603,0.057648152112960815,0.011185020208358765,0.010514957830309868,0.0025537756737321615,0.009279480157420038,0.015764756686985494,1084378,False,0.007690586615353823,0.08543563634157181,0.01662263087928295,0.0158966314047575,0.0029599140398204327,0.014246535999700428,0.021832215879112465,1084378,False,0.000507247110363096,0.019999781623482704,0.006097445730119944,0.005472767166793346,0.0021042986772954464,0.0047127319732680915,0.010198054788634179
12,1091569,False,0.0059907445684075356,0.055175166577100754,0.008912751451134682,0.008434263989329338,0.002008159412071109,0.0073959133587777615,0.012123624049127101,1091569,False,0.007999960333108902,0.08892704546451569,0.020871471613645554,0.02025458961725235,0.002792560262605548,0.01823227256536484,0.025624067708849903,1091569,False,0.005627681966871023,0.05460432916879654,0.010930970311164856,0.010332162491977215,0.0023973151110112667,0.009137045592069626,0.015036058612167834,1091569,False,0.009165014140307903,0.073200523853302,0.016277339309453964,0.015638237819075584,0.0026995947118848562,0.014024025388062,0.02091717049479484,1091569,False,0.0015520096058025956,0.019999517127871513,0.005880822893232107,0.005319683346897364,0.0019851578399538994,0.004589085280895233,0.009559832327067851
13,1099086,False,0.005420132540166378,0.06702004373073578,0.008732311427593231,0.008283996023237705,0.0019168859580531716,0.0072910713497549295,0.011755397310480475,1099086,False,0.008141049183905125,0.0803447812795639,0.020484166219830513,0.019907452166080475,0.0026597760152071714,0.01795172691345215,0.024903179612010717,1099086,False,0.003925372380763292,0.06184139847755432,0.010602209717035294,0.010055341757833958,0.002282691653817892,0.008897357387468219,0.014332409016788006,1099086,False,0.009316886775195599,0.09489525854587555,0.015930622816085815,0.015307161025702953,0.0027465687599033117,0.013753666542470455,0.02022815914824605,1099086,False,0.0013441230403259397,0.019999878481030464,0.005692197009921074,0.005175999831408262,0.0018868310144171119,0.0044736419804394245,0.009024398634210229
14,1103732,False,0.0059307049959897995,0.054478421807289124,0.00872393324971199,0.008335001766681671,0.0017954339273273945,0.007327767694368959,0.011384601332247252,1103732,False,0.009665658697485924,0.08224622160196304,0.020548833534121513,0.020045258104801178,0.002529473276808858,0.018083647917956115,0.024516991060227155,1103732,False,0.004544928669929504,0.05063607543706894,0.010634350590407848,0.010153365321457386,0.002153178444132209,0.008994298428297043,0.013876945432275531,1103732,False,0.00852121040225029,0.08281692862510681,0.015950465574860573,0.015421058982610703,0.0024992949329316616,0.013866740930825471,0.019678438268601894,1103732,False,0.0013190916506573558,0.01999991200864315,0.0056390962563455105,0.005185670219361782,0.0017658841097727418,0.004484881390817463,0.00847119567915797
15,1100933,False,0.005953618790954351,0.07768964767456055,0.008741592057049274,0.00832498911768198,0.0018350979080423713,0.007333911955356598,0.011569331586360929,1100933,False,0.008295946754515171,0.08180370926856995,0.02059607021510601,0.020071541890501976,0.002575754188001156,0.0181148212403059,0.024753051996231068,1100933,False,0.004621487110853195,0.05122467875480652,0.010669291019439697,0.010169148445129395,0.0021783250849694014,0.009015222266316413,0.014107871614396559,1100933,False,0.009010834619402885,0.07513938844203949,0.015978682786226273,0.015418537892401218,0.002575716469436884,0.013868978992104531,0.01990796774625778,1100933,False,0.0012236908078193665,0.019999684765934944,0.005682557821273804,0.00520996144041419,0.0017978099640458822,0.004511701408773661,0.008664575964212417
